"","tmin.mean","tmin.sd","tmin.01","tmin.025","tmin.05","tmin.50","tmin.95","tmin.975","tmin.99","tseas.mean","tseas.sd","tseas.01","tseas.025","tseas.05","tseas.50","tseas.95","tseas.975","tseas.99","pmin.mean","pmin.sd","pmin.01","pmin.025","pmin.05","pmin.50","pmin.95","pmin.975","pmin.99","pseas.mean","pseas.sd","pseas.01","pseas.025","pseas.05","pseas.50","pseas.95","pseas.975","pseas.99","gbif.records"
"Salsola vermiculata",31.2933618843683,28.2821775201791,-44,-26.05,-6.1,28,71,78.3999999999999,116.479999999999,5745.0556745182,750.506487853373,2462,4655,4934.1,5716,6733,7514.84999999999,8205.98,12.4860813704497,10.6045438808278,0,0,1,9,29,32,35.6999999999999,41.4967880085653,15.7348431860682,19,20,21,41,67,87,91.6799999999999,480
"Salvadora persica",140.183908045977,41.0254862721028,55.68,61,66.7,141,205,212,223.3,2062.32643678161,1223.24253847716,606,664,768.9,1680,4588.4,5452,5964.76,4.87816091954023,6.38015040501673,0,0,0,2,19,22,26.6399999999999,94.1379310344828,27.2014893592113,47.34,53,58,87,151.3,160,171.32,450
"Sambucus nigra",2.52827823907254,64.7993052444681,-135,-109,-95.9,3,121,155.9,195,5405.37693874354,2125.08954323426,320,567.1,949,5751,9139.3,9731,10109.36,22.7540341532195,27.1039580694497,0,0,0,11,79,86,99,57.10183299389,28.5930989929562,7,11,14,62,94,99,100,6474
"Sambucus racemosa",-71.733734939759,58.467293300633,-229.51,-195.275,-169,-71,24,39,46,6960.39060240964,1826.79174655505,2527.98,2832,3723,6973.5,10084,10756.65,11992.83,39.6043373493976,24.7498661444689,2,3,5,35,87,96,110,38.9604819277108,19.8863941361132,7,10,13,32.5,76,83,88,4192
"Sapindus saponaria",130.692003167063,83.5165944262446,-83,-75,-58,162,214,218,222,2474.98891528108,2607.02053615747,193.68,289.1,332.3,1326,8417.59999999999,9348.8,9575.8,25.1207576953433,25.9388411215756,0,1,2,19,68,83,120,65.3086029992107,23.0819738490283,19,26,33,62,105,113,119,1287
"Sarcopoterium spinosum",65.3185840707965,26.9699785100839,-12.28,-4.6,8.40000000000001,75,95.4,96.2,99.64,5469.23008849557,519.651995653437,4587.96,4656.2,4711.2,5435,6480.2,6515,6516.76,3.4070796460177,8.21109568134745,0,0,0,0,14,20.6,45.0799999999999,89.6548672566372,21.216894343013,18.4,44,50,92,113,113.2,114,118
"Schefflera digitata",21.45,20.3093833641393,-5.86,-4.15,-1.3,13.5,55,55,55,3443.8,273.320055304361,2970.75,3006.375,3065.75,3396,3849.65,3874.825,3889.93,104.2,69.7820667657906,47.28,50.7,56.4,79.5,252.8,279.4,295.36,15.65,3.46827729116647,12.19,12.475,12.95,15,21.3,24.15,25.86,20
"Schefflera morototoni",175.438271604938,38.4483570542794,60.81,83.45,98.45,184,223,225,226,1000.10617283951,698.066989242353,243.09,284,328,778,2454.35,3281.275,3496,59.0135802469136,46.847052121571,2,3,4,51,152,187.1,204,50.4543209876543,19.7218861526911,11,13.225,16,52,82,84,86.91,819
"Schefflera volkensii",66.8125,26.7693706752551,9,9,12.45,57.5,108,116.8,126.37,983.03125,396.862735406045,636,636,636.15,747,1721,1727.95,1741.18,22.90625,15.6668882963047,3.15,5.575,6,17,47,50.825,56,60.609375,15.9817526776882,40,40,40,57,84.55,87,95.8799999999999,64
"Schima wallichii",124.200381679389,70.4169222872223,-6.08,4.075,12,119,230,230,230,2440.82442748092,1852.50682199033,180,180,201,2806.5,5217.25,5401.6,6000,62.0820610687023,66.1119548662797,3,4,5,18,194,245,245,59.8225190839695,28.4559467745355,16,16,19.15,72,98,103.925,105,526
"Shorea leprosula",210.474576271186,7.66171839058762,194,194,195.8,210,219,219,219,319.135593220339,80.2714054870485,130,130,198.4,322,390.499999999999,568.35,585,172.830508474576,33.3539805525894,68.74,70,126.7,172,199.4,266,266,22.4576271186441,5.44667577802976,13,13,18.4,22,29.4999999999999,43,43,59
"Shorea ovata",208.5,13.7765785900222,174,174,174,210,225,225,225,342.277777777778,81.6461558877197,227,227,227,322,507,507,507,168.888888888889,18.7895117454921,120,120,120,172,188,188,188,25.3333333333333,8.64325646691923,19,19,19,22,44,44,44,18
"Sideroxylon obtusifolium",162.249275362319,32.3525375059447,67.89,78.225,91,166,208,215,229.33,1703.81449275362,862.902112364202,460.78,617.925,699.75,1632,3699.25,4129,4628,21.2927536231884,22.0153945270154,0,0,1,16,58.55,84.8749999999999,106.11,64.2913043478261,23.507292751819,13,24.225,30,59,99.55,105,111,700
"Simarouba amara",176.071244635193,34.5269590207818,82,106,118.2,184,221,225,225,897.505579399142,439.833687732116,251.64,277.3,348.4,785,1678,1889.9,2011.96,58.4154506437768,66.2174832467453,1,2,3,36,186,198,306,53.6454935622318,20.9697579010142,14,16,18,54,89,96.8999999999999,102.72,1176
"Sonneratia alba",187.70460704607,26.9980274122432,119,130,135,185,228,229,229,1559.58536585366,826.357157033756,107,115,141,1607,3007,3323.6,3752.56,48.5149051490515,78.5273797450554,0,0,1,11,255,261,279.32,81.3306233062331,34.3904871814551,14.68,15,15,94,124,126.8,129,430
"Sophora microphylla",19.504854368932,23.7549395995356,-26.86,-23,-19,17,60,68,71,3505.36116504854,325.165641187314,2951.1,3014.3,3063,3474,4230.6,4382.85,4479.2,77.9359223300971,43.3418877342404,32.14,35,37.7,66,138,202,281.86,17.3650485436893,7.28216344390243,9,10,10,15,29,32,40.0200000000001,529
"Sorbaria sorbifolia",-91.5387755102041,53.9172235982394,-251,-205,-179,-89.5,-13.45,-3.45000000000005,16.7700000000001,7789.35714285714,1770.18713699993,4681.39,4924.975,5280.2,8034,10457.45,11129.55,13795.08,41.8877551020408,21.0162478059653,4,4,9.45,35,86,88.775,93.4400000000001,30.3244897959184,15.5546011132504,7,8,10,29,65.8499999999997,82,94.11,492
"Sorbus americana",-143.328502415459,58.5127013775952,-271.94,-266,-263.8,-123,-69,-55.5000000000001,-49.3,9478.85507246377,1596.93183015312,5692,6682.45,6927.5,9142,12447.9,12585.45,12629.88,73.024154589372,21.9610068414576,22,23,31.2,76,105.8,107,115.58,16.7149758454106,9.3549694947117,7,7,7,15,37,44,46.94,208
"Sorbus aria",-13.7075736325386,31.1655124079882,-87,-76.375,-67,-8,30,39.375,55,5772.84011220196,855.482981895426,3964.5,4247.625,4501,5720,7536,7555,7568,37.5757363253857,17.7097519072216,5,5.625,9.25,36,67,75,85,27.1697054698457,10.4380186086534,12,13,14,26,51,56.375,64,1455
"Sorbus aucuparia",-74.951416015625,50.1939810560803,-193.05,-176.625,-162.25,-69,2,16,28,6694.52075195312,1506.16429841852,3718.15,4106.375,4458,6560,9364,9614.25,10060.9,45.6904296875,20.1511350891976,16,21,23,41,88,98,104,27.468994140625,7.97462493146378,10,13,16,27,41,45,52,4160
"Spartium junceum",34.3188277087034,31.8580817006727,-44.75,-27,-17,34,83,91,108.75,4847.86412078153,1652.94411714653,175,306.875,760.75,5292.5,6647,6874.875,7287.25,12.0479573712256,16.5090523397708,0,0,0,4,43.75,57.75,78,62.3028419182949,25.6047518316575,11,13.125,19,62.5,95.75,100,104.5,1151
"Spathodea campanulata",171.023508137432,38.6576551466691,75,88.2,98,181,221.4,228,230,1238.33634719711,867.590069082148,236.12,255,294.8,984,2741,3522.8,4280.80000000002,40.5388788426763,41.0116061273699,0,0,2,27,119.4,135.2,187.96,57.6094032549729,20.4779676187708,17.52,21,23,59,92.4,100,106,567
"Spiraea salicifolia",-62.3540090771558,41.083565280726,-229.8,-157,-128,-55,-21,-12.5,-4.80000000000007,6848.48714069592,1294.97699004987,4623,4913.5,5377,6663,8848,9595.5,12671,41.5975794251135,15.3471424705294,11.6,25,27,37,74,82.5,97.4,26.2617246596067,8.60318137367307,13.6,20,20,25,33,38.5,60.8,664
"Spondias mombin",188.599889319314,27.3055971689703,113,129,136.3,193,223,227,229,948.576092971776,565.282170294378,252.18,287.3,352,771,2085.7,2246.3,2873.52,44.9784172661871,54.1772252675689,0,0,1,27,178,197,205.94,60.852241283896,22.955027875708,15,16,19,60,96,112,121,1827
"Sprengelia incarnata",45.4275590551181,23.5192665422717,-11,-5.275,6,50,79,83,84.6199999999999,3362.88346456693,641.446936528657,2392.01,2431,2489.8,3252,4428,4506,5246.71,53.9062992125984,21.7494119121295,14.69,18,22,55,89,97,114.93,28.0929133858268,10.7936091553147,11,13,14,27,50,53.2749999999999,62,1290
"Stachyurus himalaicus",30.5583482944345,42.9675583175325,-78,-44.5,-19.4,21,110,117.2,141.44,4454.22621184919,1029.15913282573,2712,2754.9,3004.2,4490,7051.2,7462.4,7626.56,33.1849192100539,33.9781974456729,3,3,6,14,101,108,112.76,73.6552962298025,18.1248575720587,35.68,37,39,82,97,103,103,561
"Sterculia apetala",185.822660098522,27.5006276708209,105,127.125,136,192,223,224,227,891.261083743842,488.762206630109,225.75,253,309.75,771,1997.25,2202.375,2265,48.2389162561576,62.7899855411251,0,1,1,28,188.5,202.75,250.55,59.3300492610837,23.5539712988741,14,15,17,58,94,96,99.95,409
"Styrax camporum",117.390804597701,23.5168124592841,82.02,86,86,116,156.3,165,170.98,1832.23218390805,758.208082690802,544.92,632,760.9,1712,3338,3501,3501,24.2735632183908,18.5908186779802,1.34,2,3,22,64,65,77,62.048275862069,18.8673508141446,21,21,26,63,89,90,92,435
"Styrax officinalis",45,44.6699668747813,-65.8,-30.775,-9.85,58.5,88,89.9,93.98,5684.50980392157,843.880261614487,4361,4585.7,4805,5797.5,6375.4,6502,8266.17999999999,2.54901960784314,5.30948609506336,0,0,0,2,7.94999999999999,14.425,16,87.6862745098039,17.4690563155988,35,36.575,63.05,86.5,109,111,111,102
"Swartzia arborescens",195.375,25.1851247159559,81,144,154.15,201,225,225,226,531.920634920635,152.105179847287,291,330,368.75,491,761,851.175,1068.4,77.3531746031746,57.1070832393377,5,8,10.15,63.5,199,203,212.91,45.9821428571429,17.41602055407,15,16,16,49,70,72,75.97,505
"Swartzia cardiosperma",208.007042253521,7.99955360356801,192.41,194,194,208,220,228,228,509.077464788732,138.004269331825,273.25,316.2,320,454,702,703,839.89,132.471830985915,48.7646968080367,14.87,25,51,139,197,204.425,231,27.2746478873239,12.3340872107321,15.41,16.525,17,23,50.95,58,75.7500000000001,142
"Swartzia panacoco",208.642458100559,12.7607890721546,167,183.45,186,213,225,225,225.22,506.100558659218,98.8772417306956,271.06,327,378.4,487,673.2,686.7,713.54,67.0558659217877,27.3573359038705,22.56,34.5,45,63,107,117.55,201.48,48.072625698324,8.96185921531164,22.12,31.9,33,48,62.2,66.1,70.88,181
"Swartzia polyphylla",211.429805615551,11.7039110533538,177,185.55,192,213,226,228,228.38,449.030237580994,91.6801750378187,254,292,306.3,439,623.9,663,701.38,102.503239740821,49.7914209030227,16,24.75,34,90,187,197,203.94,38.1425485961123,15.5757186844851,16.62,17,17,40,65,69,74,464
"Swartzia simplex",187.907488986784,25.6248631273538,104.22,128.05,143.05,192,223,223,224,785.081497797357,417.45717415215,254.66,300.1,362,684,1693.75,2083.87499999999,2253,80.7848751835536,64.0322519788414,1,2,6,61,190,201,214.17,45.0631424375918,21.6842373558852,10,11,12,45,77,91.9749999999999,105,1372
"Swietenia macrophylla",176.7969348659,28.3990951608222,67.2,111,135,179,218,222,223.8,1084.97701149425,577.651950912115,291,343.5,427,845,2177,2232,2706,42.727969348659,45.1839694949673,1,1,2,37,135,199,204.4,60.2030651340996,18.2632709965081,16.2,18.5,25,58,92,94,96.1999999999999,261
"Symphonia globulifera",188.071982758621,27.3984618762883,113,126.975,138,193,222,225,225.81,770.915948275862,357.273439737216,274,294.975,340,687,1489,1682.275,1915.48,76.664224137931,64.3330845341365,1,2,3,62,190.149999999999,231,304,48.6047413793103,18.0458013885619,12.19,16,18,51,77,80,84,2347
"Symplocos anomala",56.4326241134752,61.3441042213395,-24,-20,-20,37,170.9,195,219,4891.35224586288,2503.88367654654,236,247,253,4911,8177,8660,8684,52.6146572104019,35.2436404510096,4,7,10,46,125,133,146,58.2600472813239,19.2779245848996,16,18,19,57,90,95.35,100,423
"Symplocos cochinchinensis",118.427681992337,55.2693759643846,4,32,37,112,215,219,228,1569.06417624521,1526.86432993629,220.96,266.35,344.75,748,4662,5731.375,6830.85000000002,121.804597701149,87.8945285195894,5,7,14,109,286,407,407,42.1455938697318,25.8234555672444,6,7,9,36,87,92.825,105,2135
"Symplocos glomerata",85.8465346534653,70.1988732377666,-62,-61,-30,105,164,166,188.94,3337.19801980198,1183.94864686101,773.78,1194,2477.4,2848.5,4881.7,4897,5637.13000000001,32.6485148514851,25.042257276944,4,7.025,9,25,63,68.975,144,87.0148514851485,13.59560864235,31,52.2,64,90.5,98.95,106.825,120.87,202
"Symplocos lucida",83.2038834951456,69.7408872708086,-75,-75,-31.8,104,193.7,219.9,227.86,4262,2055.60612214786,760.54,904.25,1539.2,3856,7993.8,8739.6,8755,61.4368932038835,55.4676499788368,1,2.65,4,41,175.5,188,188,67.6407766990291,30.1768819348917,19.04,21,22.1,75,119,123,123,103
"Symplocos martinicensis",168.229166666667,32.2531473531561,67.05,84.1,127,172.5,204.95,209.3,212.12,982.291666666667,336.286222969162,434.41,440.025,459,1123.5,1313.8,1324.6,1458.5,81.7916666666667,41.4127939596702,6.47,7,7.35,78,153.9,176.2,179,40.8333333333333,13.9319521525213,23.41,25,25,40,75,76.65,79.12,49
"Symplocos paniculata",20.9551374819103,51.9804814156786,-102,-75,-48,8,121,155,159,6590.51808972504,1974.21270990429,2623,2655.5,3229,7220,9015,9271.25,10278,35.0767004341534,31.8218531893011,4.9,5,5,32,93.5,156,177.3,64.1982633863965,20.2882073949041,10,16,31,61,97,98.75,103,699
"Symplocos sumuntia",69.9683098591549,59.566535379042,-142,-75,-14,83,159,159.925,166.93,5067.97535211268,2114.99346733778,1141.96,1161,1867.3,4573,8531.69999999999,8755,9641,59.5211267605634,51.7915389777132,1,3,4,46.5,170,175,176,63.6197183098592,22.3406749724411,22,22.75,36,58,103.4,111,114.4,294
"Symplocos tinctoria",1.796875,39.4204763838964,-157,-99.5,-55.95,4,47,51.7,56.96,6995.75,637.310669053083,5565.96,5785.35,5916.15,7171.5,7724,7778,8012.95,76,14.422205101856,22,26.6,52.2,78.5,88,95.675,102,20.53125,6.24364756537674,9.63,10,13.3,19,33.85,37.7,40.37,64
"Syringa reticulata",-81.9342105263158,43.9555337513768,-196.25,-153.5,-146,-91,-23.25,14,14,8743.05263157895,826.008908664418,7351.75,7639.875,7651,8658,9756.5,10564,11173,52.9210526315789,16.2839496911486,5.5,25.25,30,50.5,79,85,85.75,36.5394736842105,17.4832802333915,6.75,7,7,40.5,51,56,81.5,76
"Tabebuia rosea",177.418848167539,32.6704105888125,98,113.9,124.6,181,223,224,227.28,1173.2757417103,762.180858849014,217,266,320,833,2365.4,3283.39999999999,3416.48,29.043630017452,32.6849741265476,0,0,1,18,87,120.4,162,71.3350785340314,22.3963683729365,25.72,27.3,33,72,111,114.7,118.28,582
"Tamarindus indica",161.838056680162,41.4549765663902,7.42,63.85,95,170,215.3,221,229,1808.56680161943,1048.4871524943,333,370,470.8,1497,3772,4371.34999999999,4899,17.6437802907916,28.8777411617754,0,0,0,6,79,103,133.89,81.5533117932149,28.3059274827048,19,26.925,34,83,125,129,142,1269
"Tamarix aphylla",62.9606299212598,47.6349719342953,-21,-10.5,-1,48,167,186.5,202,5418.77690288714,2228.29149446548,755,847,1019,5922,8034,8380.5,8693,6.02624671916011,8.70779105665368,0,0,0,3,23,29.5,39,63.8398950131234,25.3198088458217,12,17.5,25,61,106,122,124.2,384
"Tapirira guianensis",173.475928473177,37.3215419599057,86,97,106,180,223,225,229,1003.03026134801,598.533298663616,259.83,312,352,918,2249.9,2598.57499999999,2805.97000000001,59.4287024300779,57.4817605169212,1,2,3,44,178,200,239.780000000001,52.423658872077,20.7555800184973,12,15,18,52,84,87,91,4386
"Tecoma stans",120.745260663507,61.9638113403911,-39,-2,20.15,124,215.85,220,226,2164.72274881517,1690.23297653731,153.29,188.375,263.45,1706.5,5292.85,6495,7056,30.4332939787485,32.1303856154702,0,0,1,19,86.6999999999999,104,127.54,62.1700118063754,26.0238006697734,10,14.15,23,61,103,111,115.54,882
"Tectona grandis",177.019607843137,44.2678095068441,56.35,84.625,98,185.5,230,230,230.95,1306.22875816993,1102.85043200199,214,231.125,255,995,3902.75,4315.5,4738,49.5374592833876,52.5812884291558,0,0.65,2,27,141,150.949999999999,194,58.8469055374593,24.3940824121933,13,19.25,22,61,91.7,107,112.82,312
"Terminalia amazonia",186.848765432099,26.7624266305122,110,129,141,191,223,224,226,847.308641975309,469.241125440476,262.11,362.35,397,680,1737.3,2118.8,2228,66.125,49.9764221842973,5.47,8,10.35,57,187.65,203.825,233.59,49.3888888888889,15.7494878599789,13.47,15,18,50,75,81,86.5899999999999,650
"Terminalia ivorensis",195.87037037037,22.1474838773617,125.57,140.075,161,203.5,218.95,219,219.78,954.722222222222,182.871276385079,495.01,592.425,736,942,1196.7,1359,1368.68,26.8950617283951,22.4741695829539,3,3,5,23,49,60,149,64.7962962962963,14.7636194155453,21,36.15,45,65,89,93,93,167
"Tetraberlinia bifoliolata",190.06,17.8430545028962,152,156.95,165,186,216,218,221,997.2,236.591602147871,695,719,719,908,1345,1385,1738,20.7666666666667,24.6403947716956,0,1,1,5,71,73,80,64.6688888888889,6.17084617206571,54.98,57,57,65,73,74,78,903
"Thuja occidentalis",-86.8943560057887,71.3511147550956,-249,-243,-237.5,-68,17,45.75,66,8378.17510853835,2096.83845998293,3542.8,4177.5,5034,8384,12778,13000.25,13311.2,45.2301013024602,21.2339765297291,4,15,17,36,85,87,90.1,28.2127351664255,14.3509696652912,7,8,8,25,52,54.75,60.1,692
"Thymelaea hirsuta",51.9619121647882,14.4545228193372,12,20,26,55,68,75,82.2800000000002,5351.13253012048,321.242230547453,4765,4843,4931.4,5282,5784.2,5880,6396.56,8.54683249125534,4.89697937035232,0,1,2,9,16,17,19,47.2133696074621,10.4902728417577,30,32,34,46,67,69,85,2666
"Trema cannabina",153.041666666667,63.8122472589081,19,19,37,165,228,231,237,2266.50462962963,2329.94497708985,193,201.775,218,824,7105,7363.7,7577,94.6388888888889,71.0498936920961,2,12.775,15,79.5,239.85,286,310,46.2847222222222,25.82647696105,5,12,13,41.5,91,94,102.69,456
"Trema orientalis",152.184713375796,52.2781302689568,23.44,46.775,61,166,217,220,226.89,1872.89729299363,1324.04314984256,250,311.1,455,1349,4669,5218,5745.25,32.530652866242,40.2156257077647,0,0,1,20,123,166.225,183,66.2937898089172,21.0752495174465,18,21,28,67,100,107,120,2636
"Trema tomentosa",118.821040594626,61.9761847378511,9.48,19,27,112,221,227,230,3037.27787307033,1511.13003750442,197,225.8,275,3323,5632.4,6041.7,6073,36.412235563179,46.5178158960963,0,0,0,22,135,168,223,67.915380217267,34.5390492723934,13,16.7,21,65,116,123,125,1780
"Trichanthera gigantea",180.021367521368,43.4607460973778,51.31,77.65,89,194.5,223,223.175,231,452.517094017094,258.150058098463,188.98,211.25,219.3,384.5,815,905.849999999999,1121.11,70.1495726495726,66.3633438867705,1,3,6.65,52.5,158.2,263.225,338.839999999999,46.7606837606838,17.4659200090412,17.33,19.825,24,43,76.7,86.2749999999998,102.36,234
"Trochocarpa laurina",56.7454545454545,32.4986860778639,0,7.725,13,54.5,118,131,171,3792.20909090909,610.798216070653,1372.32,2602.175,2717,3849,4427,4493.75,4710.28,51.0072727272727,20.351553733335,24,32.725,33,49,66,74.275,133.999999999999,40.9109090909091,12.2497265532437,17.94,26,29,40,72,72,93,553
"Tsuga canadensis",-88.9578754578755,42.8389351998392,-182.1,-171.375,-162,-94,-22.25,-10,9.19999999999891,8621.9706959707,1172.38393649544,4949.1,6268.875,6796,8755,10715.25,10768.625,10965,71.7710622710623,20.9294306976617,25,30,32,79,92,94,130.55,15.4322344322344,9.15974366393391,6,6,6,13,39,40,46.55,548
"Uncaria tomentosa",195.832298136646,19.9013931751161,145.6,148,150,201,223,223,223,783.931677018634,376.623089510979,332,366,419,734,1513,2133,2187,88.7639751552795,57.865956693892,2.6,9,23,69,189,200,208.6,43.7515527950311,17.6741446242458,11,14,16,46,69,76,106.2,163
"Vangueria infausta",75.6543778801843,51.7012309780999,-4,1.25,9,74,170,183.5,190,2871.30875576037,1127.66313091761,569.5,813.75,1257,2810,4481,4735.75,5108.5,8.99692780337942,10.187321974328,0,0,0,6,28,36,45.5,79.9723502304147,17.4404261726399,40,45,47,76,110,116,118,658
"Vauquelinia californica",15.9711538461538,19.1972169963067,-24.97,-24,-22,19.5,43,43.85,45.97,6652.75961538462,764.392829613739,4069.52,4211.95,4376,6835,7493.85,7620.075,7896.63,5.25961538461539,2.13612112083276,1,1,2,5,8.84999999999999,9,9,64.7115384615385,11.696545898669,45,45.575,47.15,63,81.85,98.425,102.88,104
"Viburnum dilatatum",-21.8254504504505,34.7197175657647,-97,-94,-82,-21,40,49,58,7788.49099099099,611.471749168746,5337.48,6564.625,6921.8,7797,8675,8751,8965.33,52.0067567567568,17.8323635539564,12,18.175,27,51,85,90.8249999999999,105.39,45.2072072072072,11.2478420264687,8,10,25.35,45,60,63.8249999999999,77.13,893
"Viburnum odoratissimum",90.0785907859079,56.4801504394322,-32,-27.4,-5.6,93,161.2,166,172.56,4409.34417344173,2211.48972100574,748,748,820.4,3796,7906.8,8157.8,8562,44.8780487804878,22.8040752576444,0.68,4.2,15,46,74.1999999999998,114,135.6,67.8265582655827,22.3271683138672,18.04,20.2,31,66,96.6,99.8,105.64,375
"Viburnum opulus",-76.3659202621518,57.239448433206,-245,-231,-167,-73,5,22,43,7408.64773347897,1876.07161281632,3957,4269.575,4695,7432.5,10633.8,12109.525,13102.36,44.198252321136,21.2274017816881,12,17,22,36,90,98,104,28.8238667394866,10.0978738630841,7,10,13,29,50,54,61.3899999999999,3715
"Viburnum tinus",30.9304577464789,22.2024531664129,-19,-9,-3,33,64,75,85.29,5504.27860915493,657.447437307899,2926.28,3795,4327,5540,6498.9,6761.15,6900.35,16.7429577464789,12.6744608686465,1,1,2,14,44,49,63,39.3846830985916,14.4233314792643,13,17,20,35,68,72,84,2277
"Virola surinamensis",201.770750988142,19.4617373841381,147.1,156,166,205,224,225,227,547.713438735178,182.290679897406,275.05,281,306,508,909,989.75,1105,68.903162055336,48.0300700972418,6,7.625,10,54.5,188.75,200,205,49.8162055335968,16.1155424096638,16.05,17,19,52,75,77.75,91.85,508
"Vitex agnus-castus",59.0119904076739,58.5672472636231,-73.84,-61.6,-46.2,54,193.4,207.2,217.04,5489.20143884892,1794.73788735984,475.84,970,1159,5716,8223.8,8537.8,9242.55999999999,15.8705035971223,22.4718310417905,0,0,0,7,71,77,86.5199999999999,58.6043165467626,23.5503609431661,10.16,11.4,20,55,106,108.6,112.68,422
"Weinmannia trichosperma",3.42857142857143,23.8985952964365,-41.19,-39.975,-37.6,2.5,35,41.825,50.33,3392.71428571429,1204.41628269074,2258.13,2265.825,2298.95,3169,4521.7,5902.45,7484.38,87.7142857142857,65.4929213833278,14.08,15.7,18.75,65,216.45,250.125,260.25,41,22.2077730802795,10,10,10,46,73.65,76.275,79.11,28
"Zenobia pulverulenta",4.28571428571429,18.56559502632,-17.83,-16.075,-13.15,1,30.45,45.725,54.89,6202.71428571429,1107.93268530396,4208.16,4428.9,4796.8,6823,7448.15,7503.075,7536.03,59.5,18.5586388758194,34,34,34,66.5,79,79,79,30.7142857142857,14.6467563824716,13,13,13,27,52,52,52,14
"Ziziphus jujuba",13.165191740413,50.4355804852412,-140,-130,-65.1,21,69.1999999999999,96.2,155,6805.57227138643,1633.34044304838,2898.82,3727.1,4322.6,7066,8946,9815.65,11367,20.6283185840708,19.9633664600666,0,1,1,13,58.2999999999999,70,77.34,61.9262536873156,22.3510954646075,12,14.45,22.9,60,98.1999999999999,105,108.24,340
"Ziziphus lotus",65.4675324675325,30.5917878624418,6.76,9.7,14.8,69,148,148,149.2,5093.79220779221,1115.82103754734,2581.56,3081,3081,4986,6755.6,7456.8,7725,2.12987012987013,2.83005788182694,0,0,0,2,5.2,6.09999999999999,10.5999999999999,65.038961038961,27.3695189458531,32.32,34,43,52,142.4,148,148,83
"Ziziphus mistol",117.492753623188,33.1864710157999,-3,32.7,54,129,154.6,162.5,166,3292.94202898551,848.336727056122,1465.04,1740.5,1785,3293,4483.2,5061.4,5613,20.7246376811594,16.7234284920455,1,1.7,2,12,46.2,47.6,49,56.695652173913,16.1384673335865,35.4,37,37,53,85,87.1,92,69
"Ziziphus mucronata",82.2008412197687,62.3402433114734,-16,-6.25,2,67,190.5,211,215,3069.01156677182,1219.35352538387,766.5,879.75,1099,3105,5219,5352.5,5615,7.29337539432177,8.18864092990594,0,0,0,6,24.5,31.5,39,80.1125131440589,21.8982566259601,34.5,39.5,45,76,122,131,139,961
